Mission,Value Stream
Resilient Earth,Agriculture
Resilient Earth,Climate & Sustainability
Resilient Earth,Earth Observation
Resilient Earth,Geospatial Intelligence
Resilient Earth,Extractive Industries
Resilient Earth,Health & Wellbeing
Beyond Earth,Access to Space
Beyond Earth,Emerging Technology
ACE,Artificial Intelligence
ACE,Intelligent Transport
ACE,Ubiquitous Connectivity
Cross-cutting,Consultancy / Other
Cross-cutting,Explore New Markets
